epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49756,2.17608,3.6787,0.01976,0.29256,0.18182,0.11945,0.06277,1.91142,4.33582,0.02168,4e-05,4e-05,4e-05
2,4.37271,1.83034,3.49573,0.01655,0.21053,0.72727,0.29707,0.16843,1.64305,3.33438,0.01766,9.7525e-05,9.7525e-05,9.7525e-05
3,5.20298,1.82555,3.12445,0.01561,0.69797,0.45455,0.60401,0.38471,1.51194,1.89953,0.01585,0.00015208,0.00015208,0.00015208
4,6.04223,1.71703,2.84275,0.01393,0.97122,0.54545,0.77426,0.55097,1.3108,1.15444,0.01417,0.000203665,0.000203665,0.000203665
5,6.86922,1.56016,1.63957,0.01394,0.77429,0.72727,0.82844,0.60773,1.22203,0.87176,0.01344,0.00025228,0.00025228,0.00025228
6,7.68458,1.43123,1.39405,0.01184,0.9049,0.90909,0.94645,0.66064,1.16643,0.54451,0.01288,0.000297925,0.000297925,0.000297925
7,8.46407,1.32587,0.86023,0.01144,0.90277,0.90909,0.95117,0.65158,1.16965,0.50715,0.01302,0.0003406,0.0003406,0.0003406
8,9.2447,1.40511,1.01496,0.01073,0.84569,0.99674,0.95831,0.66485,1.15297,0.50609,0.01295,0.000380305,0.000380305,0.000380305
9,10.0422,1.3285,0.90899,0.00923,0.82024,0.90909,0.95171,0.65834,1.10456,0.56019,0.0122,0.00041704,0.00041704,0.00041704
10,10.8398,1.21122,0.7685,0.01017,0.84149,0.96694,0.96731,0.71132,1.05937,0.56001,0.01192,0.000450805,0.000450805,0.000450805
11,11.6482,1.21176,0.78085,0.00954,0.7456,0.8006,0.87461,0.66543,1.06783,0.67549,0.01214,0.0004816,0.0004816,0.0004816
12,12.429,1.24135,0.88644,0.0109,0.71361,0.9063,0.87514,0.65195,1.04165,0.71809,0.01167,0.000509425,0.000509425,0.000509425
13,13.2066,1.20605,0.62742,0.00922,0.89889,0.80914,0.92316,0.62703,1.12822,0.66199,0.01212,0.00053428,0.00053428,0.00053428
14,14.0598,1.19946,0.74976,0.00941,0.70762,1,0.89375,0.60543,1.14282,0.62701,0.01222,0.000556165,0.000556165,0.000556165
15,14.7947,1.11882,0.66184,0.00966,0.70762,1,0.89375,0.60543,1.14282,0.62701,0.01222,0.00057508,0.00057508,0.00057508
16,15.5732,1.06909,0.61769,0.00964,0.76427,0.88566,0.92974,0.63791,1.14348,0.62917,0.01215,0.000591025,0.000591025,0.000591025
17,16.3652,1.24326,1.04417,0.01008,1,0.81767,0.97571,0.68219,1.12672,0.53509,0.01166,0.000604,0.000604,0.000604
18,17.1374,1.1987,0.72263,0.00923,1,0.81767,0.97571,0.68219,1.12672,0.53509,0.01166,0.000614005,0.000614005,0.000614005
19,17.9095,1.08996,0.70537,0.00915,0.97001,0.81818,0.96282,0.69767,1.07093,0.54322,0.01076,0.00062104,0.00062104,0.00062104
20,18.7291,1.05032,0.57372,0.00868,0.90225,1,0.965,0.74069,1.00267,0.50091,0.00989,0.000625105,0.000625105,0.000625105
21,19.5261,1.19936,0.74291,0.00995,0.90225,1,0.965,0.74069,1.00267,0.50091,0.00989,0.0006262,0.0006262,0.0006262
22,20.3149,1.07412,0.62718,0.00843,0.89733,1,0.965,0.74688,0.96492,0.4928,0.00944,0.000624325,0.000624325,0.000624325
23,21.0871,0.99936,0.62701,0.00746,0.89733,1,0.965,0.74688,0.96492,0.4928,0.00944,0.00061948,0.00061948,0.00061948
24,21.8696,1.0821,0.61811,0.00806,1,0.80671,0.95023,0.75179,1.00527,0.47056,0.00994,0.000611665,0.000611665,0.000611665
25,22.6302,0.9321,0.47364,0.00753,1,0.80671,0.95023,0.75179,1.00527,0.47056,0.00994,0.00060088,0.00060088,0.00060088
26,23.424,1.06141,0.55134,0.00818,1,0.80676,0.947,0.73817,1.03158,0.48413,0.01043,0.000587125,0.000587125,0.000587125
